06-04-2026	Retrieve the names of all customers who are from the city 'Mumbai'.	Filtering	Easy	`select customer_name from customers where city='Mumbai';`	`SELECT customer_name FROM customers WHERE city = 'Mumbai';`	Correct	1	1
06-04-2026	Get the product names and prices of products where the price is greater than 500.	Filtering	Easy	select product_name from products where price>500;	SELECT product_name, `price` FROM products WHERE price > 500;	Wrong Column Selection	0	1
06-04-2026	List all orders placed after '2023-01-01'.	Filtering	Easy	`select * from orders where order_date>'2023-01-01';`	`SELECT * FROM orders WHERE order_date > '2023-01-01';`	Correct	1	1
06-04-2026	Display the top 5 most expensive products based on price.	Sorting / Limiting	Easy	select product_name from products order by `desc` limit 5;	SELECT product_name, `price` FROM products ORDER BY `price` DESC LIMIT 5;	Syntax Error	0	1
06-04-2026	Find the total quantity sold for each product.	Aggregation	Easy	`select p.product_name, sum(o.quantity) as total_qty_sold from products p join order_items o on p.product_id=o.product_id group by p.product_name;`	`SELECT p.product_name, SUM(o.quantity) AS total_qty_sold FROM products p JOIN order_items o ON p.product_id = o.product_id GROUP BY p.product_name;`	Correct	1	1
06-04-2026	Retrieve the customer names along with their total order amount.	Aggregation	Easy	select c.customer_name, sum(o.total_amount) as tot_ord_amt from customers c join orders o on c.customer_id=o.customer_id;	SELECT c.customer_name, SUM(o.total_amount) AS tot_ord_amt FROM customers c JOIN orders o ON c.customer_id = o.customer_id `GROUP` `BY` `c.customer_name`;	Missing Condition	0	1
06-04-2026	Find all products that belong to the category 'Electronics' and have a price less than 1000.	Filtering	Easy	`select * from products where category='Electronics' and price<1000;`	`SELECT * FROM products WHERE category = 'Electronics' AND price < 1000;`	Correct	1	1
06-04-2026	List the order IDs and total number of items (quantity sum) in each order.	Aggregation	Easy	select order_id, sum(`total_amount`) from `orders` group by order_id;	SELECT order_id, SUM(`quantity`) FROM `order_items` GROUP BY order_id;	Wrong Column Selection	0	1
06-04-2026	Display the customers who have not placed any orders.	Joins & Set Operations	Easy	select c.customer_name, `o.order_id` from customers c left join orders o `where` o.order_id is null;	SELECT c.customer_name FROM customers c LEFT JOIN orders o `ON` c.customer_id = o.customer_id WHERE o.order_id IS NULL;	Syntax Error	0	1
06-04-2026	Get the product name and total revenue (quantity × item_price) generated for each product.	Aggregation	Easy	select p.product_name, sum(o.quantity)`*``o.item_price` as tot_revenue from products p join order_items o on p.product_id=`o.order_items` group by p.product_name;	SELECT p.product_name, SUM(o.quantity `*` o.item_price) AS tot_revenue FROM products p JOIN order_items o ON p.product_id = o.`product_id` GROUP BY p.product_name;	Syntax Error	0	1
06-04-2026	Retrieve the top 3 customers based on total order amount in descending order.	Aggregation	Easy	select c.customer_name, `o.total_amount` from customers c join orders o on c.customer_id=o.customer_id order by total_amount desc limit 3;	SELECT c.customer_name, `SUM`(o.total_amount) AS total_amount FROM customers c JOIN orders o ON c.customer_id = o.customer_id `GROUP` `BY` c.customer_name ORDER BY total_amount DESC LIMIT 3;	Missing Condition	0	1
06-04-2026	Find the average price of products for each category.	Aggregation	Easy	`select category, avg(price) from products group by category;`	`SELECT category, AVG(price) FROM products GROUP BY category;`	Correct	1	1
06-04-2026	List all orders along with the customer name who placed them.	Joins & Set Operations	Easy	`select c.customer_name, o.* from customers c join orders o on c.customer_id=o.customer_id;`	`SELECT o.order_id, o.order_date, o.total_amount, c.customer_name FROM customers c JOIN orders o ON c.customer_id = o.customer_id;`	Correct	1	1
06-04-2026	Display the products that have never been ordered.	Joins & Set Operations	Easy	`select p.product_name from products p left join order_items oi on p.product_id=oi.product_id where oi.product_id is null;`	`SELECT p.product_name FROM products p LEFT JOIN order_items oi ON p.product_id = oi.product_id WHERE oi.product_id IS NULL;`	Correct	1	1
06-04-2026	Get the total number of orders placed by each customer, sorted in descending order.	Aggregation	Easy	select c.customer_name, count(o.order_id) as num_of_ords from customers c join orders o on c.customer_id=o.customer_id group by c.customer_name order by count(o.order_id) `as` desc;	SELECT c.customer_name, COUNT(o.order_id) AS num_of_ords FROM customers c JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_name ORDER BY `num_of_ords` DESC;	Syntax Error	0	1
06-04-2026	Retrieve the order IDs where the total quantity of items is greater than 10.	Aggregation	Easy	`select o.order_id, sum(oi.quantity) as tot_qty from orders o join order_items oi on o.order_id=oi.order_id group by o.order_id having tot_qty>10;`	`SELECT o.order_id, SUM(oi.quantity) AS tot_qty FROM orders o JOIN order_items oi ON o.order_id = oi.order_id GROUP BY o.order_id HAVING SUM(oi.quantity) > 10;`	Correct	1	1
06-04-2026	Find the total revenue generated on each order.	Aggregation	Easy	select order_id, sum(`total_amount`) from `orders` group by order_id;	SELECT order_id, SUM(`quantity` `*` `item_price`) AS total_revenue FROM `order_items` GROUP BY order_id;	Wrong Column Selection	0	1
06-04-2026	List the customers who signed up before '2022-01-01' and are from 'Delhi'.	Filtering	Easy	`select customer_name from customers where signup_date<'2022-01-01' and city='Delhi';`	`SELECT customer_name FROM customers WHERE signup_date < '2022-01-01' AND city = 'Delhi';`	Correct	1	1
06-04-2026	Display the most recent order date for each customer.	Aggregation	Easy	select c.customer_name, `o.order_date` from customers c join orders o on c.customer_id=`o.order_id` order by o.order_date;	SELECT c.customer_name, `MAX`(o.order_date) AS recent_order FROM customers c JOIN orders o ON c.customer_id = o.`customer_id` `GROUP` `BY` c.customer_name;	Missing Condition	0	1
06-04-2026	Get the product categories along with the total quantity sold in each category.	Aggregation	Easy	`select p.category, sum(oi.quantity) as tot_qty from products p join order_items oi on p.product_id=oi.product_id group by p.category;`	`SELECT p.category, SUM(oi.quantity) AS tot_qty FROM products p JOIN order_items oi ON p.product_id = oi.product_id GROUP BY p.category;`	Correct	1	1
06-04-2026	Retrieve the customers who have placed more than 5 orders.	Aggregation	Easy	`select c.customer_name, count(o.order_id) as no_of_ords from customers c join orders o on c.customer_id=o.customer_id group by c.customer_name having no_of_ords>5;`	`SELECT c.customer_name, COUNT(o.order_id) AS no_of_ords FROM customers c JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_name HAVING COUNT(o.order_id) > 5;`	Correct	1	1
06-04-2026	Find the highest priced product in each category.	Aggregation	Easy	select category, `price` from products group by category order by price;	SELECT category, `MAX`(price) AS highest_price FROM products GROUP BY category;	Missing Condition	0	1
06-04-2026	List the order IDs where the total revenue is between 500 and 2000.	Filtering	Easy	select order_id, `total_amount` from `orders` where total_amount between 500 and 2000;	SELECT order_id, SUM(`quantity` `*` `item_price`) AS total_revenue FROM `order_items` GROUP BY order_id HAVING SUM(quantity * item_price) BETWEEN 500 AND 2000;	Wrong Column Selection	0	1
06-04-2026	Display the customer name and their first order date.	Aggregation	Easy	select c.customer_name, `o.order_date` from `customer` c join orders o on c.customer_id=o.customer_id order by o.order_date asc limit 1;	SELECT c.customer_name, `MIN`(o.order_date) AS first_order FROM `customers` c JOIN orders o ON c.customer_id = o.customer_id `GROUP` `BY` c.customer_name;	Syntax Error	0	1
06-04-2026	Get the total number of products sold (sum of quantity) for each customer.	Aggregation	Easy	select c.customer_name, sum(oi.quantity) from customers c join orders o on c.customer_id=o.customer_id join `order_items` on o.order_id=`oi.order_id` group by c.customer_name;	SELECT c.customer_name, SUM(oi.quantity) FROM customers c JOIN orders o ON c.customer_id = o.customer_id JOIN order_items `oi` ON o.order_id = oi.order_id GROUP BY c.customer_name;	Syntax Error	0	1
07-04-2026	Retrieve all customer names and their cities.	Basic SELECT	Easy	`select customer_name, city from customers;`	`SELECT customer_name, city FROM customers;`	Correct	1	1
07-04-2026	Find all accounts with a balance greater than 50,000.	Filtering	Easy	`select * from accounts where balance>50000;`	`SELECT * FROM accounts WHERE balance > 50000;`	Correct	1	1
07-04-2026	Display account_id and balance of all accounts sorted by balance in descending order.	Sorting / Limiting	Easy	`select account_id, balance from accounts order by balance desc;`	`SELECT account_id, balance FROM accounts ORDER BY balance DESC;`	Correct	1	1
07-04-2026	Count the number of accounts for each account_type.	Aggregation	Easy	select `account_id`, count(account_type) as no_of_accs from accounts group by `account_id`;	SELECT account_type, COUNT(`*`) AS no_of_accounts FROM accounts GROUP BY account_type;	Wrong Column Selection	0	1
07-04-2026	Retrieve customer_name and account_id for all customers who have accounts.	Joins & Set Operations	Easy	`select account_id, customer_name from customers c join accounts a on c.customer_id=a.customer_id;`	`SELECT c.customer_name, a.account_id FROM customers c JOIN accounts a ON c.customer_id = a.customer_id;`	Correct	1	1
07-04-2026	Retrieve the names of all customers along with the cities they belong to.	Basic SELECT	Easy	select `*` customer_name, city from customers;	SELECT customer_name, city FROM customers;	Syntax Error	0	1
07-04-2026	Find all accounts that have a balance greater than 50,000.	Filtering	Easy	`select * from accounts where balance>50000;`	`SELECT * FROM accounts WHERE balance > 50000;`	Correct	1	1
07-04-2026	Display each account’s identifier and its balance, sorted from highest to lowest balance.	Sorting / Limiting	Easy	`select account_id, balance from accounts order by balance desc;`	`SELECT account_id, balance FROM accounts ORDER BY balance DESC;`	Correct	1	1
07-04-2026	Count how many accounts exist for each type of account.	Aggregation	Easy	`select account_type, count(account_id) as num_of_accs from accounts group by account_type;`	`SELECT account_type, COUNT(*) AS num_of_accounts FROM accounts GROUP BY account_type;`	Correct	1	1
07-04-2026	Retrieve the names of customers along with their account identifiers for those who have accounts.	Joins & Set Operations	Easy	`select customer_name, account_id from customers c join accounts a on c.customer_id=a.customer_id;`	`SELECT c.customer_name, a.account_id FROM customers c JOIN accounts a ON c.customer_id = a.customer_id;`	Correct	1	1
07-04-2026	Retrieve all transactions that are of type credit.	Filtering	Easy	`select * from transactions where transaction_type='Credit';`	`SELECT * FROM transactions WHERE transaction_type = 'Credit';`	Correct	1	1
07-04-2026	Find the total balance held by each customer.	Aggregation	Easy	select `c.customer_name`, sum(a.balance) as tot_bal from customers c join accounts a on c.customer_id=a.customer_id group by c.customer_name;	SELECT `a.customer_id`, SUM(a.balance) AS total_balance FROM accounts a GROUP BY a.customer_id;	Wrong Column Selection	0	1
07-04-2026	Display each transaction’s account identifier and date, sorted by date in ascending order.	Sorting / Limiting	Easy	select `transaction_id`, transaction_date from transactions order by transaction_date asc;	SELECT `account_id`, transaction_date FROM transactions ORDER BY transaction_date ASC;	Wrong Column Selection	0	1
07-04-2026	Retrieve customer names along with their account balances for those having balance greater than 10,000.	Joins & Set Operations	Easy	`select c.customer_name, a.balance from customers c join accounts a on c.customer_id=a.customer_id where balance>10000;`	`SELECT c.customer_name, a.balance FROM customers c JOIN accounts a ON c.customer_id = a.customer_id WHERE a.balance > 10000;`	Correct	1	1
07-04-2026	Count how many transactions exist for each account, but only include those accounts having more than 3 transactions.	Aggregation	Easy	select `account_id`, count(transaction_id) as `transctions_count` from accounts a join transactions t on a.account_id=t.account_id having transctions_count>3;	SELECT t.account_id, COUNT(`*`) AS `transaction_count` FROM transactions t `GROUP` `BY` t.account_id HAVING COUNT(*) > 3;	Syntax Error	0	1
08-04-2026	Retrieve the names of all customers who are from Mumbai.	Filtering	Easy	`select customer_name from customers where city='Mumbai';`	`SELECT customer_name FROM customers WHERE city = 'Mumbai';`	Correct	1	1
08-04-2026	Show the total number of orders placed by each customer.	Aggregation	Easy	select c.customer_name, `sum`(o.order_id) as tot_orders from customers c join orders o on c.customer_id=o.customer_id group by c.customer_name;	SELECT c.customer_name, `COUNT`(o.order_id) FROM customers c JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_name;	Logic Error	0	1
08-04-2026	List all products along with their prices, sorted from highest to lowest price.	Sorting / Limiting	Easy	`select product_name, price from products order by price desc;`	`SELECT product_name, price FROM products ORDER BY price DESC;`	Correct	1	1
08-04-2026	Find the names of customers who have placed at least one order.	Joins & Set Operations	Easy	select c.customer_name from customers c join orders o on c.customer_id=o.customer_id;	SELECT `DISTINCT` c.customer_name FROM customers c JOIN orders o ON c.customer_id = o.customer_id;	Logic Error	0	1
08-04-2026	Display the top 3 orders with the highest total amount.	Sorting / Limiting	Easy	`select order_id, total_amount from orders order by total_amount desc limit 3;`	`SELECT order_id, total_amount FROM orders ORDER BY total_amount DESC LIMIT 3;`	Correct	1	1
08-04-2026	Find the total revenue generated from each product.	Aggregation	Easy	`select p.product_name, sum(oi.quantity*oi.item_price) as tot_revenue from products p join order_items oi on p.product_id=oi.product_id group by p.product_name;`	`SELECT p.product_name, SUM(oi.quantity * oi.item_price) FROM products p JOIN order_items oi ON p.product_id = oi.product_id GROUP BY p.product_name;`	Correct	1	1
08-04-2026	List the names of customers who have never placed any orders.	Joins & Set Operations	Easy	select c.customer_name from customers c `join` orders o on c.customer_id=o.customer_id where o.order_id IS NULL;	SELECT c.customer_name FROM customers c `LEFT` JOIN orders o ON c.customer_id = o.customer_id WHERE o.order_id IS NULL;	Missing Condition	0	1
08-04-2026	Show the average order amount for each customer, but only include those whose average is above 1000.	Aggregation	Easy	select c.customer_name, avg(o.total_amount) as avg_amt from customers c join orders o on c.customer_id=`o.order_id` group by c.customer_name having `avg_amount`>1000;	SELECT c.customer_name, AVG(o.total_amount) FROM customers c JOIN orders o ON c.customer_id = `o.customer_id` GROUP BY c.customer_name HAVING `AVG`(o.total_amount) > 1000;	Syntax Error	0	1
08-04-2026	Retrieve all orders placed in the year 2023, sorted by date in ascending order.	Filtering	Easy	`select * from orders where year(order_date)='2023' order by order_date asc;`	`SELECT * FROM orders WHERE YEAR(order_date) = 2023 ORDER BY order_date ASC;`	Correct	1	1
08-04-2026	Display the product names and total quantity sold for each product, sorted by total quantity in descending order.	Sorting / Limiting	Easy	select p.product_name, sum(oi.quantity) as `tot_qty_sold` from products p join order_items oi on p.product_id=oi.product_id group by p.product_name order by `tot_qty` desc;	SELECT p.product_name, SUM(oi.quantity) AS `tot_qty` FROM products p JOIN order_items oi ON p.product_id = oi.product_id GROUP BY p.product_name ORDER BY tot_qty DESC;	Wrong Column Selection	0	1
